id,state,2012,2013,2014,2015,2016,2017,2018,2019
1,Bihar,3.93,4.98,3.65,6.08,7.52,7.91,10.86,7.41
2,Chattisgarh,5,10,1.77,2.57,12.13,3.01,7.98,5.12
3,Uttarakhand,7.27,8.47,5.29,8.08,9.83,7.95,5.77,4.3
4,Maharashtra,6.06,6.9,6.31,7.2,9.23,5.95,6.2,4.95
5,Madhya Pradesh,11.45,3.82,5.15,9.06,12.4,5.63,6.49,9.63
6,Gujarat,10.89,7.56,10.51,10.23,9.71,10.72,8.88,7.26
7,Andhra  Pradesh,0.32,6.96,9.2,12.16,8.34,10.09,4.88,7.23
8,Kerala,6.5,3.89,4.26,7.44,7.56,6.36,6.49,3.45
9,Odisha,5.36,9.26,1.8,7.97,15.44,7.16,6.88,6.72
10,Haryana,7.86,8.29,6.63,11.57,10.48,6.69,6.12,8.24
11,Himachal Pradesh,6.41,7.06,7.5,8.1,7.04,6.16,6.55,4.9
12,Tamil Nadu,5.37,7.6,4.92,8.24,7.15,8.59,7.01,6.13
13,Jharkhand,8.17,1.57,12.49,-6.25,10.46,9.01,8.87,3.98
14,West Bengal,4.17,3.01,2.84,6.13,7.2,6.36,6.35,6.13
15,Karnataka,6.11,9.55,6.24,11.08,13.29,8.61,6.49,5
16,Uttar Pradesh,4.72,5.79,4.03,8.85,11.37,4.57,6.26,3.81
17,Rajasthan,4.54,6.97,7.26,8.02,5.93,4.71,4.94,5.03
18,Assam,2.91,4.88,6.92,15.67,5.74,8.83,5.06,2.95
19,Jammu And Kashmir,3.21,5.38,-3.22,17.76,3.3,6.37,9.16,NA
20,Punjab,5.32,6.63,4.23,5.74,6.87,6.43,5.91,4.02
21,Telangana,2.97,5.36,6.76,11.58,9.34,9.74,9.82,5.95
22,Sikkim,2.29,6.07,7.9,9.93,7.15,14.78,5.38,5.77
23,Mizoram,7.15,16.21,24.59,9.44,10.32,8.55,8.91,12.2
24,Goa,-15.38,-11.94,27.08,14.89,11.19,2.74,9.03,-7.5
25,Tripura,8.67,9.32,18.17,-0.66,14,8.37,11.06,9.4
26,Arunachal Pradesh,2.14,9.2,16.57,-0.99,4.59,4.57,6.72,7.8
27,Meghalaya,2.19,1.83,-2.82,2.47,5.29,3.84,5.12,6.2
28,Manipur,0.61,8.64,8,7.73,4.01,9.77,2.93,7.11
29,Nagaland,5.68,7.19,4.39,1.82,6.75,5.05,2.6,7.43
30,Delhi,6.64,7.17,9.02,11.03,7.6,5.91,5.74,7.1
31,Andaman And Nicobar Islands,4.48,7.99,5.64,7.39,12.96,12.39,6.23,4.83
32,Chandigarh,8.08,8.97,3.46,9.02,7.96,5.8,3.92,5.53
33,Puducherry,2.93,10.74,-5.03,4.69,7.44,8.94,17.06,0.34
