State,District,"Percentage of Households with Tap Water Connections, 2019"
Andaman And Nicobar Islands,Nicobars,17.7
Andaman And Nicobar Islands,North And Middle Andaman,43.07
Andaman And Nicobar Islands,South Andamans,57.19
Andhra Pradesh,Anantapur,42.37
Andhra Pradesh,Chittoor,55.85
Andhra Pradesh,East Godavari,56.3
Andhra Pradesh,Guntur,35.17
Andhra Pradesh,Krishna,53.69
Andhra Pradesh,Kurnool,49.03
Andhra Pradesh,Prakasam,47.03
Andhra Pradesh,Spsr Nellore,72.04
Andhra Pradesh,Srikakulam,19.31
Andhra Pradesh,Visakhapatanam,37.04
Andhra Pradesh,Vizianagaram,45.83
Andhra Pradesh,West Godavari,68.4
Andhra Pradesh,Y.S.R.,90.97
Arunachal Pradesh,Anjaw,20.14
Arunachal Pradesh,Changlang,6.52
Arunachal Pradesh,Dibang Valley,15.36
Arunachal Pradesh,East Kameng,1.25
Arunachal Pradesh,East Siang,11.19
Arunachal Pradesh,Kamle,12.56
Arunachal Pradesh,Kra Daadi,6.85
Arunachal Pradesh,Kurung Kumey,4.75
Arunachal Pradesh,Leparada,20.72
Arunachal Pradesh,Lohit,13.36
Arunachal Pradesh,Longding,3.38
Arunachal Pradesh,Lower Dibang Valley,2.62
Arunachal Pradesh,Lower Siang,27.22
Arunachal Pradesh,Lower Subansiri,8.18
Arunachal Pradesh,Namsai,3.29
Arunachal Pradesh,Pakke Kessang,0.78
Arunachal Pradesh,Papum Pare,12.33
Arunachal Pradesh,Shi Yomi,20.94
Arunachal Pradesh,Siang,3.4
Arunachal Pradesh,Tawang,4.35
Arunachal Pradesh,Tirap,2.28
Arunachal Pradesh,Upper Siang,44.96
Arunachal Pradesh,Upper Subansiri,1.89
Arunachal Pradesh,West Kameng,21.11
Arunachal Pradesh,West Siang,40.32
Assam,Baksa,1.13
Assam,Barpeta,0.25
Assam,Biswanath,1.73
Assam,Bongaigaon,0.16
Assam,Cachar,8.3
Assam,Charaideo,1.51
Assam,Chirang,1.41
Assam,Darrang,1.02
Assam,Dhemaji,0.23
Assam,Dhubri,0.13
Assam,Dibrugarh,0.68
Assam,Dima Hasao,1.28
Assam,Goalpara,0.47
Assam,Golaghat,3.23
Assam,Hailakandi,1.24
Assam,Hojai,0.21
Assam,Jorhat,11.4
Assam,Kamrup Metro,7.43
Assam,Kamrup,1.65
Assam,Karbi Anglong,0.28
Assam,Karimganj,1.67
Assam,Kokrajhar,0.45
Assam,Lakhimpur,0.5
Assam,Majuli,1.11
Assam,Marigaon,0.16
Assam,Nagaon,0.53
Assam,Nalbari,2.97
Assam,Sivasagar,2.75
Assam,Sonitpur,2.44
Assam,South Salmara Mancachar,0.1
Assam,Tinsukia,0.33
Assam,Udalguri,0.39
Assam,West Karbi Anglong,0.26
Bihar,Araria,5.98
Bihar,Arwal,2.75
Bihar,Aurangabad,0.23
Bihar,Banka,1.9
Bihar,Begusarai,0.33
Bihar,Bhagalpur,1.65
Bihar,Bhojpur,1.1
Bihar,Buxar,0.76
Bihar,Darbhanga,1.67
Bihar,Gaya,1.77
Bihar,Gopalganj,1.63
Bihar,Jamui,1.93
Bihar,Jehanabad,4.23
Bihar,Kaimur (Bhabua),2.35
Bihar,Katihar,8.05
Bihar,Khagaria,0.72
Bihar,Kishanganj,3.08
Bihar,Lakhisarai,2.28
Bihar,Madhepura,1
Bihar,Madhubani,0.67
Bihar,Munger,3.86
Bihar,Muzaffarpur,0.34
Bihar,Nalanda,9.73
Bihar,Nawada,2.1
Bihar,Pashchim Champaran,1.14
Bihar,Patna,0.7
Bihar,Purbi Champaran,0.34
Bihar,Purnia,2.47
Bihar,Rohtas,0.74
Bihar,Saharsa,0.41
Bihar,Samastipur,0.24
Bihar,Saran,2.56
Bihar,Sheikhpura,0.02
Bihar,Sheohar,4.22
Bihar,Sitamarhi,2.07
Bihar,Siwan,0.75
Bihar,Supaul,0.41
Bihar,Vaishali,0.12
Chandigarh,Chandigarh,0
Chhattisgarh,Balod,6.11
Chhattisgarh,Baloda Bazar,6.36
Chhattisgarh,Balrampur,0.51
Chhattisgarh,Bastar,7.36
Chhattisgarh,Bemetara,10.96
Chhattisgarh,Bijapur,2.18
Chhattisgarh,Bilaspur,10.76
Chhattisgarh,Dantewada,0.89
Chhattisgarh,Dhamtari,10.54
Chhattisgarh,Durg,10.64
Chhattisgarh,Gariyaband,11.62
Chhattisgarh,Gaurella Pendra Marwahi,5.82
Chhattisgarh,Janjgir-Champa,9.05
Chhattisgarh,Jashpur,2.77
Chhattisgarh,Kabirdham,NaN
Chhattisgarh,Kanker,5.53
Chhattisgarh,Kondagaon,2.37
Chhattisgarh,Korba,3.94
Chhattisgarh,Korea,2.61
Chhattisgarh,Mahasamund,2.93
Chhattisgarh,Mungeli,1.12
Chhattisgarh,Narayanpur,11.7
